assister,scorer,assists,total_points,avg_points_per_assist,threes,twos,layups,jumpers,dunks
Saylor Poffenbarger,Yarden Garzon,18,47,2.61,11,7,7,0,0
Yarden Garzon,Saylor Poffenbarger,14,36,2.57,8,6,4,2,0
Addi Mack,Yarden Garzon,13,36,2.77,10,3,1,2,0
Yarden Garzon,Oluchi Okananwa,12,27,2.25,3,9,8,1,0
Kyndal Walker,Yarden Garzon,12,33,2.75,9,3,0,3,0
Saylor Poffenbarger,Oluchi Okananwa,11,25,2.27,3,8,6,2,0
Addi Mack,Oluchi Okananwa,10,24,2.4,4,6,5,1,0
Oluchi Okananwa,Isimenme Ozzy-Momodu,10,20,2.0,0,10,10,0,0
Addi Mack,Saylor Poffenbarger,8,21,2.62,5,3,1,2,0
Oluchi Okananwa,Yarden Garzon,8,23,2.88,7,1,0,1,0
Yarden Garzon,Isimenme Ozzy-Momodu,8,16,2.0,0,8,7,1,0
Saylor Poffenbarger,Isimenme Ozzy-Momodu,8,16,2.0,0,8,7,1,0
Saylor Poffenbarger,Addi Mack,7,17,2.43,3,4,2,2,0
Marya Boiko,Saylor Poffenbarger,5,10,2.0,0,5,3,2,0
Yarden Garzon,Addi Mack,5,12,2.4,2,3,2,1,0
Kyndal Walker,Oluchi Okananwa,5,12,2.4,2,3,3,0,0
Kaylene Smikle,Yarden Garzon,5,12,2.4,2,3,2,1,0
Oluchi Okananwa,Addi Mack,5,12,2.4,2,3,2,1,0
Marya Boiko,Yarden Garzon,5,13,2.6,3,2,2,0,0
Kyndal Walker,Marya Boiko,5,10,2.0,0,5,3,2,0
Lea Bartelme,Isimenme Ozzy-Momodu,4,8,2.0,0,4,3,1,0
Addi Mack,Kaylene Smikle,4,10,2.5,2,2,2,0,0
Saylor Poffenbarger,Marya Boiko,4,8,2.0,0,4,3,1,0
Lea Bartelme,Oluchi Okananwa,4,10,2.5,2,2,2,0,0
Kyndal Walker,Saylor Poffenbarger,4,12,3.0,4,0,0,0,0
Oluchi Okananwa,Saylor Poffenbarger,4,12,3.0,4,0,0,0,0
Kyndal Walker,Isimenme Ozzy-Momodu,4,8,2.0,0,4,3,1,0
Yarden Garzon,Marya Boiko,4,8,2.0,0,4,2,2,0
Addi Mack,Rainey Welson,4,11,2.75,3,1,1,0,0
Breanna Williams,Isimenme Ozzy-Momodu,4,8,2.0,0,4,4,0,0
Oluchi Okananwa,Breanna Williams,4,10,2.5,2,2,2,0,0
Isimenme Ozzy-Momodu,Oluchi Okananwa,3,6,2.0,0,3,1,2,0
Saylor Poffenbarger,Breanna Williams,3,6,2.0,0,3,3,0,0
Yarden Garzon,Kaylene Smikle,3,8,2.67,2,1,1,0,0
Marya Boiko,Isimenme Ozzy-Momodu,3,6,2.0,0,3,3,0,0
Kyndal Walker,Rainey Welson,3,8,2.67,2,1,0,1,0
Yarden Garzon,Lea Bartelme,3,8,2.67,2,1,1,0,0
Kyndal Walker,Breanna Williams,3,7,2.33,1,2,2,0,0
Mir McLean,Breanna Williams,3,7,2.33,1,2,2,0,0
Kyndal Walker,Kaylene Smikle,3,7,2.33,1,2,1,1,0
Isimenme Ozzy-Momodu,Yarden Garzon,3,8,2.67,2,1,1,0,0
Yarden Garzon,Rainey Welson,3,9,3.0,3,0,0,0,0
Lea Bartelme,Yarden Garzon,2,5,2.5,1,1,0,1,0
Addi Mack,Mir McLean,2,4,2.0,0,2,2,0,0
Isimenme Ozzy-Momodu,Addi Mack,2,5,2.5,1,1,1,0,0
Kaylene Smikle,Saylor Poffenbarger,2,6,3.0,2,0,0,0,0
Mir McLean,Nicole Fritea,2,4,2.0,0,2,1,1,0
Lea Bartelme,Marya Boiko,2,4,2.0,0,2,2,0,0
Oluchi Okananwa,Lea Bartelme,2,4,2.0,0,2,2,0,0
Addi Mack,Marya Boiko,2,4,2.0,0,2,2,0,0
Lea Bartelme,Saylor Poffenbarger,2,5,2.5,1,1,0,1,0
Rainey Welson,Yarden Garzon,2,6,3.0,2,0,0,0,0
Rainey Welson,Marya Boiko,2,4,2.0,0,2,1,1,0
Yarden Garzon,Mir McLean,2,4,2.0,0,2,1,1,0
Saylor Poffenbarger,Kaylene Smikle,2,4,2.0,0,2,2,0,0
Marya Boiko,Mir McLean,2,4,2.0,0,2,2,0,0
Kyndal Walker,Nicole Fritea,2,5,2.5,1,1,1,0,0
Oluchi Okananwa,Kaylene Smikle,2,5,2.5,1,1,1,0,0
Oluchi Okananwa,Marya Boiko,2,4,2.0,0,2,0,2,0
Isimenme Ozzy-Momodu,Mir McLean,2,4,2.0,0,2,2,0,0
Marya Boiko,Breanna Williams,2,4,2.0,0,2,1,1,0
Mir McLean,Yarden Garzon,2,6,3.0,2,0,0,0,0
Isimenme Ozzy-Momodu,Marya Boiko,2,4,2.0,0,2,2,0,0
Yarden Garzon,Breanna Williams,2,4,2.0,0,2,1,1,0
Lea Bartelme,Addi Mack,1,3,3.0,1,0,0,0,0
Kaylene Smikle,Marya Boiko,1,2,2.0,0,1,1,0,0
Marya Boiko,Lea Bartelme,1,3,3.0,1,0,0,0,0
Isimenme Ozzy-Momodu,Saylor Poffenbarger,1,3,3.0,1,0,0,0,0
Mir McLean,Marya Boiko,1,2,2.0,0,1,1,0,0
Kyndal Walker,Ava McKennie,1,2,2.0,0,1,1,0,0
Kaylene Smikle,Oluchi Okananwa,1,2,2.0,0,1,1,0,0
Yarden Garzon,Ava McKennie,1,2,2.0,0,1,1,0,0
Marya Boiko,Kyndal Walker,1,2,2.0,0,1,1,0,0
Oluchi Okananwa,Mir McLean,1,2,2.0,0,1,1,0,0
Saylor Poffenbarger,Mir McLean,1,2,2.0,0,1,1,0,0
Kaylene Smikle,Breanna Williams,1,2,2.0,0,1,1,0,0
Breanna Williams,Marya Boiko,1,2,2.0,0,1,1,0,0
Rainey Welson,Ava McKennie,1,3,3.0,1,0,0,0,0
Mir McLean,Kyndal Walker,1,2,2.0,0,1,1,0,0
Kaylene Smikle,Ava McKennie,1,3,3.0,1,0,0,0,0
Ava McKennie,Isimenme Ozzy-Momodu,1,2,2.0,0,1,1,0,0
Isimenme Ozzy-Momodu,Breanna Williams,1,2,2.0,0,1,1,0,0
Marya Boiko,Kaylene Smikle,1,3,3.0,1,0,0,0,0
Breanna Williams,Rainey Welson,1,3,3.0,1,0,0,0,0
Breanna Williams,Kaylene Smikle,1,2,2.0,0,1,0,1,0
Mir McLean,Oluchi Okananwa,1,2,2.0,0,1,1,0,0
Marya Boiko,Oluchi Okananwa,1,2,2.0,0,1,1,0,0
Yarden Garzon,Kyndal Walker,1,2,2.0,0,1,0,1,0
Breanna Williams,Yarden Garzon,1,3,3.0,1,0,0,0,0
Nicole Fritea,Yarden Garzon,1,2,2.0,0,1,0,1,0
Addi Mack,Isimenme Ozzy-Momodu,1,2,2.0,0,1,1,0,0
Rainey Welson,Addi Mack,1,2,2.0,0,1,1,0,0
Oluchi Okananwa,Kyndal Walker,1,2,2.0,0,1,0,1,0
Marya Boiko,Addi Mack,1,2,2.0,0,1,1,0,0
Rainey Welson,Isimenme Ozzy-Momodu,1,2,2.0,0,1,1,0,0
Saylor Poffenbarger,Rainey Welson,1,3,3.0,1,0,0,0,0
